type,term,context,position,comment_id,stakeholder,comment_type
technical_term,IND,"..., and although I paid for the treatment out of pocket, the whole insurance industry, not to mention the patients, would benefit from not having to pay th...",824,FDA-2015-D-3719-0015,unknown,personal_narrative
technical_term,IND,...the energy to move across country 6 months later and helped my walking. I find it deplorable that I could not have my own stem cells frozen for continued...,161,FDA-2015-D-3719-0017,unknown,personal_narrative
technical_term,BLA,"...<br/>I have gone from not being able to roll over in bed, have problematic bladder issues, and difficulties in lifting my right leg.<br/>All of the above...",453,FDA-2015-D-3719-0022,unknown,personal_narrative
technical_term,IND,"...ed, and feeling horrible every hour of the day.<br/>I was lucky enough to find StemGenex, and had the treatment here in the United States. My own stem ce...",1596,FDA-2015-D-3719-0021,unknown,personal_narrative
technical_term,HCT/P,"...egulation of human cells, tissues, and cellular and tissue based products (HCT/Ps) to prevent the introduction, transmission, and spread of communicable di...",149,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,...o identify and discuss the scientific considerations and the challenges of HCT/Ps in the market (regulations.gov). HCT/Ps are articles consisting of huma...,1023,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,...iderations and the challenges of HCT/Ps in the market (regulations.gov). HCT/Ps are articles consisting of human cells or tissues that are intended for i...,1065,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...are intended for implantation, transplantation, or transfer into a human. HCT/Ps are currently regulated under Section 361 of the Public Health Service Ac...",1201,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,...’s authority to quarantine individuals with harmful communicable diseases. HCT/Ps are regulated if they meet certain criteria. If they are: minimally manip...,1498,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...ells or tissue with another article (except water, crystalloids, or a For HCT/Ps to be intended for homologous use, they need to be repurposed for the sam...",1719,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...of living cells and are used autologous-ly, they are under regulation. If HCT/Ps don’t follow 3under these criterion, they are regulated as a drug, device...",2112,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...FDA has issued four draft guidances to further explain the criteria of the HCT/Ps to be regulated including the same-surgical-procedure exception, the mini...",2343,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...cluding the same-surgical-procedure exception, the minimal manipulation of HCT/PS, HCT/Ps from Adipose tissue and the homologous use of 4HCT/Ps. Based on...",2443,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...the same-surgical-procedure exception, the minimal manipulation of HCT/PS, HCT/Ps from Adipose tissue and the homologous use of 4HCT/Ps. Based on the com...",2451,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...ipulation of HCT/PS, HCT/Ps from Adipose tissue and the homologous use of 4HCT/Ps. Based on the comments received on this proposed regulation, this regul...",2505,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...em cells for future rehabilitation, why shouldn’t they be allowed to? For HCT/Ps to be systemic, they depend on the rest of the body’s functions to surviv...",3332,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...rest of the body’s functions to survive and 2function. To be non-systemic, HCT/Ps do not depend on the function of anything else to survive and function....",3449,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...not depend on the function of anything else to survive and function. For HCT/Ps to be considered for autologous purposes, they can only be reused in the...",3533,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...purposes, they can only be reused in the same 3body they were taken from. HCT/Ps from Adipose tissue are tissues used for storage or fat. 4 Stem cell res...",3646,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,"...y the ability to develop and assess the risks of its practices. The use of HCT/Ps has the ability to provide many temporary to permanent relief, and a retu...",16433,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,...ment infringes on personal rights and freedoms. People that have undergone HCT/P related procedures have been fully consenting and aware that the potential...,17033,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...ns infringe on human rights and stall innovation in the stem cell research industry. Additional time has been given from the original proposed date of th...,336,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...alth Service Act also established the government’s authority to quarantine individuals with harmful communicable diseases. HCT/Ps are regulated if they m...,1450,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...e cosmetic names. By regulating this potentially revolutionary and helpful industry, the FDA will most likely be making a Type II error, by regulating st...",4932,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...mer by informing them, conducting tests, surveys, and scientific research, industry professionals would strive to use the best medical science. Instead,...",6387,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...reach to the public, the adverse effects are far greater than allowing the industry to first innovate and then determine which regulations are appropriat...",6748,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...FDA could play an important role in the improvement and innovation of the industry, that could potentially save many peoples lives that struggle from di...",7267,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...l. Currently, the possibilities of stem cell use are infinite. People are finding hundreds of ways to use their own stem cells, others’, or freezing thei...",7948,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...to the maximum extent possible…” (103, Thierer). It is known, across all industries and practices, that problems are bound to happen while innovation i...",9206,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...t if” concerns and taking too many precautions, the FDA needs to allow the industry to develop and grow in order to make the correct decisions for everyo...",9419,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...lop and grow in order to make the correct decisions for everyone. If every industry was regulated based off of this approach, innovation would not move f...",9510,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...make it fair for all. And, if groups involved stem cell research and other industries all work together, they can truly better the options available to p...",9862,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...r the options available to people while maximizing potential innovation in industries. In George Stigler’s Theory of Economic Regulation, he states tha...",9987,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...s able to regulate the market, they have the power to help or hurt certain industries. In this case, it is possible that the FDA is helping the pharmaceu...",10166,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...s. In this case, it is possible that the FDA is helping the pharmaceutical industry and hurting the biomedical research industry, which affects the publi...",10250,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...is helping the pharmaceutical industry and hurting the biomedical research industry, which affects the public as a whole. While the government can mandat...",10295,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...t can mandate regulations, sometimes regulations are sought out in certain industries (3, Stigler). The pharmaceutical industry could be seeking regulati...",10436,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...ions are sought out in certain industries (3, Stigler). The pharmaceutical industry could be seeking regulation to prevent the development of stem cell r...",10480,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...eking regulation to prevent the development of stem cell research. When an industry, like pharmaceuticals, receives power from a regulation of the of oth...",10575,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...the of others, the costs of the community outweigh the benefits to the one industry (10, Stigler). The industry benefits more than the people the regulat...",10718,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...the community outweigh the benefits to the one industry (10, Stigler). The industry benefits more than the people the regulation affects because the poli...",10746,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...d a better quality of life, is prolonged by Big Pharma. The pharmaceutical industry would lose many customers and profits if stem cell research was allow...",11046,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...ny customers and profits if stem cell research was allowed to continue to find cures for conditions and diseases that require billions of dollars for med...,11143,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...year. As a governing agency, the FDA should have the best interest of the individual in mind, unfortunately, it is not the case when large amounts of mo...",11310,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...erning agency, the FDA should have the best interest of the individual in mind, unfortunately, it is not the case when large amounts of money and pressur...",11325,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...the case when large amounts of money and pressure from the pharmaceutical industry are present. The FDA should be promoting the passionate and educated...,11429,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...lity to persuade and guide these regulations through their trillion dollar industry and delay the discoveries of the possible uses of stem cell treatmen...,11741,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...re successful and not continue its ever-changing cycle. The pharmaceutical industry wants to maintain the time in the market where their profit margins w...,12010,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...ling argument about the regulations of the FDA, and how the pharmaceutical industry can benefit from regulations: “Dear FDA and all others who are in ch...",12313,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...ptions people have to possibly help them is to buy into the pharmaceutical industry. Drugs are prescribed that only alleviate some pain but don’t cure, o...",13219,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...have a enjoyable life. If the FDA is being persuaded by the pharmaceutical industry to instill regulations on innovative stem cell research they are doin...,13917,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...rests of the population is hurting the potential of the stem cell research industry. While the FDA can be persuaded by powerful interests, their abilit...",14559,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...of caution because the government has taken on the risk of regulating this industry, and by doing so, they assume incredible liability for their decision...",15443,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...to reconsider passing this regulation and allowing the stem cell research industry the ability to develop and assess the risks of its practices. The use...,16351,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...allowed to. It is unfair for the FDA to provide regulations before this industry has had the time to develop and research on the costs and benefits of...,17287,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,...’t allowed to have access to the treatments they need in the US they will find it elsewhere. By imposing this regulation it is having the opposite affect...,17739,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...y will be forced to undergo unsafe and unregulated practices in the US or find it outside the borders. If people find their treatments elsewhere, it crea...",17920,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...unregulated practices in the US or find it outside the borders. If people find their treatments elsewhere, it creates more danger for the spread of forei...",17959,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...e better off. Because the patients seeking these treatments are consenting individuals, they would benefit from innovation in the industry and the availa...",18325,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...ents are consenting individuals, they would benefit from innovation in the industry and the availability of studies, research, and available information...",18380,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,IND,"...ent in this field will incentive researchers and medical professionals to find the cures and options for those seeking them. Sources ReferencedFriedman,...",18573,FDA-2015-D-3719-0025,unknown,personal_narrative
technical_term,HCT/P,...mologous use and not combined with another article&quot; is not considered HCT/P. (21 CFR 1271.3(d) (4))<br/>-<span style='padding-left: 30px'></span>Moreo...,3819,FDA-2015-D-3719-0026,unknown,technical_document
technical_term,IND,Please find below comments on &#39;Draft Guidances Relating to the Regulation of Human...,8,FDA-2015-D-3719-0026,unknown,technical_document
technical_term,IND,"...egulated solely under section 361 of the PHS Act and 21 CFR Part 1271?<br/>Indeed, to this end, it has to meet all of the criteria of 21 CFR 1271.10(a) (...",3384,FDA-2015-D-3719-0026,unknown,technical_document
technical_term,HCT/P,"...Products”, “Human Cells, Tissues, and Cellular and Tissue -Based Products (HCT/Ps) from Adipose Tissue: Regulatory Considerations”, “Homologous Use of Hum...",1016,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,"...that exempt human cells, tissues, and cellular and tissue -based products (HCT/Ps) from the requirements of section 351 of the PHS Act (regulation as dru...",2312,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,...e that is supposed to further clarify the concept of “homologous use” for HCT/Ps. Although the guidance provides several examples of homologous and non-ho...,4678,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,"...mal stromal cells (MSCs). We presume that the sentence “Gener ally, if an HCT/P is intended for use as an unproven treatment for a myriad of diseases or...",5064,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,"...use as an unproven treatment for a myriad of diseases or conditions, the HCT/P is likely not intended for homologous use only” in Q&A 1 indirectly refers...",5160,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,"...3 3) “Human Cells, Ti ssues, and Cellular and Tissue -Based Products (HCT/Ps) from Adipose Tissue: Regulatory Considerations” The fact that the FDA...",5919,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,...ns” The fact that the FDA has developed a draft guidance specifically for HCT/Ps derived from adipose tissue indicates that the Agency is determined to t...,6047,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,...exemption” (found in 21 CFR 1271.15(b)) that refers to autologous use of HCT/Ps in the same procedure and it states: “You are not required to com ply wi...,7357,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,...th the requirements of this part if you are an establishment that removes HCT/P’s from an individual and implants such HCT/P's into the same individual du...,7512,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,...n establishment that removes HCT/P’s from an individual and implants such HCT/P's into the same individual during the same surgical procedure (ATS note: n...,7557,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,"...sue- based therapies strongly depends on FDA regulatory requirements, we find of particular interest the new FDA draft guidances for industry. We specif...",768,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,"...quirements, we find of particular interest the new FDA draft guidances for industry. We specifically refer to “Minimal Manipulation of Human Cells, Tissu...",827,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,"...ing unregulated and unproven stem cell -based therapies. Despite the non- binding nature of the guidance s, they may encourage systematic regulatory act...",1811,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,"...itions, the HCT/P is likely not intended for homologous use only” in Q&A 1 indirectly refers to such products but we think additional examples will be us...",5223,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,...oped a draft guidance specifically for HCT/Ps derived from adipose tissue indicates that the Agency is determined to take a more active stance against t...,6083,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,"...ulated use of cell administrations. Nevertheless, as the guidance is non -binding, it is not clear to us whether it will inform future FDA actions regar...",6881,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,...regarding outfits treating patient with SVF. It is critical to make this binding and/or have clear methods of enforcement. 4) “Same Surgical Procedu...,7028,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,...nts of this part if you are an establishment that removes HCT/P’s from an individual and implants such HCT/P's into the same individual during the same...,7528,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,...removes HCT/P’s from an individual and implants such HCT/P's into the same individual during the same surgical procedure (ATS note: not necessarily on th...,7579,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,IND,"...previous rules regarding this exemption. Although this guidance is non- binding, we hope it will lead to better monitoring of “clinics” that offer unp...",7802,FDA-2015-D-3719-0027,unknown,personal_narrative
technical_term,HCT/P,...20 years untill I received still cell therapy.<br/><br/>Withdraw the four HCT/P guidance documents<br/>Get out of the business of regulating a person&#39;...,424,FDA-2015-D-3719-0066,unknown,personal_narrative
technical_term,HCT/P,...of my own body as a treatment? <br/><br/>The FDA should withdraw the four HCT/P guidance documents and get out of the business of regulating a person&#39;...,526,FDA-2015-D-3719-0080,unknown,personal_narrative
technical_term,HCT/P,Withdraw the four HCT/P guidance documents.<br/><br/>Get out of the business of regulating a perso...,18,FDA-2015-D-3719-0093,unknown,technical_document
technical_term,HCT/P,I am requesting the withdrawal of the four HCT/P guidance documents and stopping legislation that regulates a patient&#39;s...,43,FDA-2015-D-3719-0095,unknown,personal_narrative
technical_term,HCT/P,"...g the public hearing on the Draft Guidances Relating to the Regulation of HCT/Ps on September 12 and 13, 2016 1. With respect to the issue of whether...",232,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,HCT/P,"...ection 361 of the Public Health Service Act , that is, whether or not the HCT/P has a systemic effect. See 21 CFR 1271.10(a)(4)(i). This statement was...",1196,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,HCT/P,"...f tissue as structural or non -structural. 2. The Draft Guidance on HCT/Ps from Adipose Tissue states, in Example B -3, page 5: The basic function...",1713,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,HCT/P,"...hildbirth. Because this is not a basic function of adipose tissue, using HCT/Ps from adipose tissues for breast augmentation would generally be consider...",1925,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,HCT/P,"...nstruction, or supplementation of a recipient’s cell s or tissues with an HCT/P that performs the same basic function or functions in the recipient as in...",2383,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,HCT/P,"...sue is expected to perform in the recipient. 2 The Draft Guidance on HCT/Ps from Adipose Tissue indicates that in the donor, adipose tissue stores e...",2693,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,IND,"...in the recipient. 2 The Draft Guidance on HCT/Ps from Adipose Tissue indicates that in the donor, adipose tissue stores energy, insulates the body...",2720,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,establishment registration,"...orted by a reference to this statement in the May 14, 1998 preamble to the Establishment Registration & Listing proposed rule: “FDA recognizes that some products may have bot...",687,FDA-2015-D-3719-0043,unknown,personal_narrative
technical_term,IND,Please find attached Johnson and Johnson comments on Docket No. FDA-2015-D-3719,8,FDA-2015-D-3719-0096,unknown,technical_document
technical_term,HCT/P,"...egulation of human cells, tissues, and cellular and tissue-based products (HCT/Ps). The AATB is a professional, non-profit, scientific and educa...",852,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...the FDA provide more certainty, not less, with regard to the regulation of HCT/Ps. By doing so, the AATB and the TPG believe that there will be further in...",2169,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ogous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).” We developed this draft guidance document recommendation to provide t...",3269,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps) and the relationship of that analysis, characterization and asses...",3594,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,...ization and assessment to minimal manipulation and homologous use for HCT/Ps. This guidance document recommendation expands upon the previously...,3730,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...k for the appropriate analysis, characterization and assessment of HCT/Ps based on the manufacturer’s objective intent. This document furth...",4091,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...n, and assessment. Finally, it also includes recommendations for HCT/P flow diagrams, given the need for additional clarity in this area. We h...",4499,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,...ions related to the four draft FDA guidance documents related to HCT/Ps. The AATB and the TPG stand ready and willing to assist the FDA with...,4739,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).”...",5291,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...gous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps) All requests and comments should be addressed to: American Ass...",5811,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,...d Answers 4 A. Biocompatiblity 4 (1) Should all HCT/Ps undergo biocompatibility testing? 4 (2) When should a processer pe...,6238,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,...s? 4 (3) What is the relationship between the amount of manipulation of HCT/Ps and the need for biocompatibility testing? 5 (4) Are there...,6446,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...Analysis, Characterization and Assessment Table 10 V. Appendix B: HCT/P Flow Diagrams 23 Page 3 Introduction We, the American Associati...",7692,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ssessment of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps) and the relationship of that analysis, characterization and assessment t...",8158,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,...racterization and assessment to minimal manipulation and homologous use of HCT/Ps. This guidance document expands upon the previously submitted homol...,8283,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...framework for the appropriate analysis, characterization and assessment of HCT/Ps based on the manufacturer’s objective intent. This document further deta...",8624,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...terization, and assessment. Finally, it also includes recommendations for HCT/P flow diagrams, given the need for additional clarity in this area. Backg...",9025,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...e may be tissue products which present such homologous uses, for allograft HCT/Ps, it is difficult to retain the 361 HCT/P designation due to the fourth ke...",9800,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...h homologous uses, for allograft HCT/Ps, it is difficult to retain the 361 HCT/P designation due to the fourth key “kick up” factor (namely, “[t]he HCT/P d...",9842,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...1 HCT/P designation due to the fourth key “kick up” factor (namely, “[t]he HCT/P does not have a systemic effect and is not dependent upon the metabolic ac...",9915,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...9751.pdf Page 4 Questions and Answers Biocompatibility (1) Should all HCT/Ps undergo biocompatibility testing? Currently, the FDA does not requir...",10644,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ently, the FDA does not require biocompatibility testing for 361 HCT/Ps; the FDA does require biocompatibility testing for 351 HCT/Ps, consis...",10764,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...or 361 HCT/Ps; the FDA does require biocompatibility testing for 351 HCT/Ps, consistent with ISO 10993. However, given that ISO 10993 is for devices...",10830,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ISO 10993. However, given that ISO 10993 is for devices, and not 361 HCT/Ps, there are some limitations to its application, including a bro...",10928,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...with metals and other materials which are not relevant to 361 HCT/Ps), lack of incorporation of innate variability in the starting material,...",11119,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ompatibility tests outlined in ISO 10993 will be relevant to 361 HCT/Ps. A processer of a 361 HCT/P should perform a risk analysis, consistent w...",11475,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...in ISO 10993 will be relevant to 361 HCT/Ps. A processer of a 361 HCT/P should perform a risk analysis, consistent with ISO 10993-1:2009 or curren...",11505,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...analysis, consistent with ISO 10993-1:2009 or current version, for each HCT/P or HCT/P family, to ascertain what, if any, biocompatibility test...",11608,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...consistent with ISO 10993-1:2009 or current version, for each HCT/P or HCT/P family, to ascertain what, if any, biocompatibility testing may...",11618,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ity testing may be appropriate. The risk analysis should focus on each HCT/P or HCT/P family, given that biocompatibility will relate to each HCT/P or...",11754,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ing may be appropriate. The risk analysis should focus on each HCT/P or HCT/P family, given that biocompatibility will relate to each HCT/P or HCT/P fam...",11763,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...ach HCT/P or HCT/P family, given that biocompatibility will relate to each HCT/P or HCT/P family due to different processing steps, different material inco...",11825,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...or HCT/P family, given that biocompatibility will relate to each HCT/P or HCT/P family due to different processing steps, different material incorporation...",11834,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,"...some cases, location of implantation), etc. In addition, a processer of a HCT/P should ensure that material intended for use as containers or packaging fo...",12029,FDA-2015-D-3719-0097,unknown,personal_narrative
technical_term,HCT/P,...hould ensure that material intended for use as containers or packaging for HCT/Ps be compliant with USP (U.S. Pharmacopoeia) Class VI testing requirements....,12111,FDA-2015-D-3719-0097,unknown,personal_narrative
