type,phrase,context,position,comment_id,stakeholder,comment_type
guidance,homologous use,"...a of 21 CFR 1271.10(a) (including to be &quot;minimally manipulated&quot;, to be &quot;intended for homologous use only&quot; and its manufacture shall not &quot;involve the combination of the cells or tissues with...",3538,FDA-2015-D-3719-0026,unknown,technical_document
guidance,homologous use,"...ssues with another article&quot;) while, by definition, &quot;minimally manipulated bone marrow for homologous use and not combined with another article&quot; is not considered HCT/P. (21 CFR 1271.3(d) (4))<br/>-<s...",3742,FDA-2015-D-3719-0026,unknown,technical_document
guidance,homologous use,"...1271.3(d) (4))<br/>-<span style='padding-left: 30px'></span>Moreover, an example is given of a non- homologous use of bone marrow: &quot;HPCs derived from bone marrow are infused into an artery with a balloon cathe...",3934,FDA-2015-D-3719-0026,unknown,technical_document
guidance,homologous use,"...r the purpose of limiting ventricular remodeling following acute myocardial infarction. This is not homologous use because limiting ventricular remodeling is not a basic function of bone marrow.&quot; (page 5, 3-1...",4154,FDA-2015-D-3719-0026,unknown,technical_document
guidance,homologous use,"...u consider that hematopoietic functions are basic functions of bone marrow, and that there could be homologous use of hematopoietic stem/progenitor cells derived from bone marrow for haematopoietic purposes?<br/>-<...",4434,FDA-2015-D-3719-0026,unknown,technical_document
guidance,homologous use,"...ort that osteopoesis could be considered as a basic function of bone marrow cells, and consequently homologous use?<br/>",4821,FDA-2015-D-3719-0026,unknown,technical_document
guidance,guidance ,"...fering unregulated and unproven stem cell -based therapies. Despite the non- binding nature of the guidance s, they may encourage systematic regulatory actions regarding this type of “clinic” outfits, which...",1833,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,"...outfits, which will be welcomed by our professional society. We provide detailed comments for each guidance below. 1) “Minimal Manipulation of Human Cells, Tissues, and Cellu lar and Tissue -Based Produc...",2026,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,"guidance 
",...e 2 There are several examples of structural and non -structural tissue manipulation in this guidance and we believe the more relevant ones to tissue/cell products for lung diseases are Points 10 and 1...,2803,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,"...ed as a drug and we concur with this view (see additional comments for the Adipose Tissue -related guidance below). We also agree with Point 12 that any processing - including, but not limited to, ex vivo ex...",3282,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,draft guidance ,"...uld be considered more than minimal manipulation”. Nevertheless, there are other passages in the draft guidance that are unclear and may re -introduce ambiguity in the interpretation of the guidance. For example...",3602,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,"...omologous Use of Human Cells, Tis sues, and Cellular and Tissue -Based Products” We welcome this guidance that is supposed to further clarify the concept of “homologous use” for HCT/Ps. Although the guidan...",4596,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,"...dance that is supposed to further clarify the concept of “homologous use” for HCT/Ps. Although the guidance provides several examples of homologous and non-homologous use for various cell/tis sue products, it...",4699,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,draft guidance ,...ts (HCT/Ps) from Adipose Tissue: Regulatory Considerations” The fact that the FDA has developed a draft guidance specifically for HCT/Ps derived from adipose tissue indicates that the Agency is determined to take...,6015,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,"...r of outfits authorizing unproven and unregulated use of cell administrations. Nevertheless, as the guidance is non -binding, it is not clear to us whether it will inform future FDA actions regarding outfits...",6863,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,...CFR 1271.15(b): Questions and Answers Regarding the Scope of the Exception” The purpose of this guidance is to further clarify the so- called “surgical exemption” (found in 21 CFR 1271.15(b)) that refers...,7227,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,...the same surgical procedure (ATS note: not necessarily on the same day) ”. The ATS considers this guidance a useful extension of previous rules regarding this exemption. Although this guidance is non- bindi...,7697,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,"...siders this guidance a useful extension of previous rules regarding this exemption. Although this guidance is non- binding, we hope it will lead to better monitoring of “clinics” that offer unproven tissue...",7784,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,same surgical procedure,"...derations”, “Homologous Use of Human Cells, Tissues, and Cellular and Tissue -Based Products”, and “Same Surgical Procedure Exception under 21 CFR 1271.15(b): Questions and Answers Regarding the Scope of the Exception” doc...",1162,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,same surgical procedure,...ent with SVF. It is critical to make this binding and/or have clear methods of enforcement. 4) “Same Surgical Procedure Exception under 21 CFR 1271.15(b): Questions and Answers Regarding the Scope of the Exception” T...,7085,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,same surgical procedure,...at removes HCT/P’s from an individual and implants such HCT/P's into the same individual during the same surgical procedure (ATS note: not necessarily on the same day) ”. The ATS considers this guidance a useful extension...,7601,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...we find of particular interest the new FDA draft guidances for industry. We specifically refer to “Minimal Manipulation of Human Cells, Tissues, and Cellular and Tissue - Based Products”, “Human Cells, Tissues, and Cell...",863,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...consider the new guidances to be helpful by clarifying key definitions such as “homologous use”, “minimal manipulation” and “surgical exemption” and by removing vulnerable “gray areas” in the existing FDA regulat ions...",1464,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...welcomed by our professional society. We provide detailed comments for each guidance below. 1) “Minimal Manipulation of Human Cells, Tissues, and Cellu lar and Tissue -Based Products” Title 21 of the Code of Feder...",2050,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...PHS Act (regulation as drug or device including pre -market review). One of the criteria, namely “minimal manipulation” had not been clearly defined in the past and this has been used as a “loophole” for outfits that o...",2465,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,...agrees with the example given in Point 10 that considers processing of adipose tissue as more than minimal manipulation. This implies that the stromal vascular fraction (SVF) commonly isolated from dissociation of subcu...,3023,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...logical characteristics of cells or nonstructural tissues ge nerally would be considered more than minimal manipulation”. Nevertheless, there are other passages in the draft guidance that are unclear and may re -intr...",3530,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...cs relating to reconstruction, repair, or replacement are not altered generally would be considered minimal manipulation…” from Point 7 needs clarification. Does the sentence refer to all components of the tissue? Would,...",4235,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...iseases, is non- homologous use and their putative anti -inflammatory effects arise from more than minimal manipulation. February 16, 2016 Page 3 3) “Human Cells, Ti ssues, and Cellular and Tissue -Ba...",5785,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,minimal manipulation,"...fficacy. Therefore, we agree with the FDA that separation of SVF from adipose tissue is more than minimal manipulation and that a “surgical exemption” does not apply, even if the extracted SVF is destined for autologou...",6493,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,"...and Cellular and Tissue -Based Products (HCT/Ps) from Adipose Tissue: Regulatory Considerations”, “Homologous Use of Human Cells, Tissues, and Cellular and Tissue -Based Products”, and “Same Surgical Procedure Exc...",1075,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,"...In general, we consider the new guidances to be helpful by clarifying key definitions such as “homologous use”, “minimal manipulation” and “surgical exemption” and by removing vulnerable “gray areas” in the ex...",1446,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,"...SVF originating from enzymatic treatment of fat tissue be considered minimally manipulated? 2) “Homologous Use of Human Cells, Tis sues, and Cellular and Tissue -Based Products” We welcome this guidance that...",4495,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,...ue -Based Products” We welcome this guidance that is supposed to further clarify the concept of “homologous use” for HCT/Ps. Although the guidance provides several examples of homologous and non-homologous use...,4657,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,"...“homologous use” for HCT/Ps. Although the guidance provides several examples of homologous and non-homologous use for various cell/tis sue products, it does not directly address the two major unregulated cell the...",4756,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,"...an unproven treatment for a myriad of diseases or conditions, the HCT/P is likely not intended for homologous use only” in Q&A 1 indirectly refers to such products but we think additional examples will be useful....",5193,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,homologous use,"...d that use of purified SVF or unexpanded MSCs for most conditions, including lung diseases, is non- homologous use and their putative anti -inflammatory effects arise from more than minimal manipulation....",5702,FDA-2015-D-3719-0027,unknown,personal_narrative
guidance,guidance ,...in chronic pain for 20 years untill I received still cell therapy.<br/><br/>Withdraw the four HCT/P guidance documents<br/>Get out of the business of regulating a person&#39;s use of his own body parts<br/>Con...,430,FDA-2015-D-3719-0066,unknown,personal_narrative
guidance,guidance ,...right to use parts of my own body as a treatment? <br/><br/>The FDA should withdraw the four HCT/P guidance documents and get out of the business of regulating a person&#39;s use of his own body parts. My fam...,532,FDA-2015-D-3719-0080,unknown,personal_narrative
guidance,guidance ,Withdraw the four HCT/P guidance documents.<br/><br/>Get out of the business of regulating a person&#39;s use of their own body parts...,24,FDA-2015-D-3719-0093,unknown,technical_document
guidance,guidance ,I am requesting the withdrawal of the four HCT/P guidance documents and stopping legislation that regulates a patient&#39;s use of their own body parts/stem c...,49,FDA-2015-D-3719-0095,unknown,personal_narrative
guidance,draft guidance ,"...t of main function to the identification of tissue as structural or non -structural. 2. The Draft Guidance on HCT/Ps from Adipose Tissue states, in Example B -3, page 5: The basic function of breast tissue...",1695,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,draft guidance ,"...the donor, and the function the donated tissue is expected to perform in the recipient. 2 The Draft Guidance on HCT/Ps from Adipose Tissue indicates that in the donor, adipose tissue stores energy, insulates...",2675,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,"minimal  
manipulation",...has always applied — It is sometimes asserted that FDA has applied the concept of main function to minimal manipulation determinations for many years. This assertion is sometimes supported by a reference to this statem...,525,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,minimal manipulation,"...ect. See 21 CFR 1271.10(a)(4)(i). This statement was not made in the context of a discussi on of minimal manipulation, (21 CFR 1271.10(a)(1), nor was it made in the context of a discussion of how to determine whether...",1320,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,homologous use,"...ssue, using HCT/Ps from adipose tissues for breast augmentation would generally be considered non- homologous use. Several speakers at the public hearing noted that breast tissue has functions in addition to la...",2013,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,homologous use,"...ns in addition to lactation. In addition, it should be noted that FDA’s statement misapplies the homologous use regulations. According to 21 CFR 1271.3(c), homologous use means the : …repair, reconstruction,...",2206,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,homologous use,"...ed that FDA’s statement misapplies the homologous use regulations. According to 21 CFR 1271.3(c), homologous use means the : …repair, reconstruction, or supplementation of a recipient’s cell s or tissues with a...",2267,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,homologous use,"...l organs. ( Draft Guidance, page 1.) Therefore, in determining whether breast augmentation is a homologous use of adipose tissue, the correct question is “Is transplanted adipose tissue expected to store energ...",2972,FDA-2015-D-3719-0043,unknown,personal_narrative
guidance,guidance	,"...tient care. The Association and the TPG have requested, and will continue to request, clear guidance related to the current good tissue practices and manufacturing arrangements.1...",2376,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance for industry,"...practices and manufacturing arrangements.1 1 See Guidance for Industry: Compliance with 21 CFR Part 1271.150(c)(1) – Manufacturing Arrangements (September 2006), availabl...",2519,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance document ,"...nufacturing Arrangements (September 2006), available at Analysis, Characterization, and Assessment Guidance Document September 22, 2016 Page 2 Due to that keen interest, the TPG previously submitted a docum...",2689,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...previously submitted a document detailing what should be included in the draft homologous use guidance document prior to the FDA’s publication of its own guidance document. Building upon that effort, the AAT...",2877,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 ,"...be included in the draft homologous use guidance document prior to the FDA’s publication of its own guidance document. Building upon that effort, the AATB and the TPG now submits a separate guidance...",2937,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	 ,"...uidance document. Building upon that effort, the AATB and the TPG now submits a separate guidance document recommendation (attached) titled “Appropriate Analysis, Characterization and Assessment to Asce...",3038,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,draft	guidance	document	,"...s Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).” We developed this draft guidance document recommendation to provide the FDA with the AATB’s and the TPG’s assessment of the need for a separat...",3298,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	 ,"...ommendation to provide the FDA with the AATB’s and the TPG’s assessment of the need for a separate guidance document examining issues related to analysis, characterization and assessment of Human Cells, Tissue...",3425,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	,...characterization and assessment to minimal manipulation and homologous use for HCT/Ps. This guidance document recommendation expands upon the previously submitted homologous use guidance document recommendat...,3745,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...s. This guidance document recommendation expands upon the previously submitted homologous use guidance document recommendation by adding new, discrete concepts. Namely, as the title suggests, the main feature of...",3835,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...endation by adding new, discrete concepts. Namely, as the title suggests, the main feature of this guidance document recommendation is to provide a framework for the appropriate analysis, characterization and as...",3959,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...low diagrams, given the need for additional clarity in this area. We hope that you will find this guidance document recommendation useful in your deliberations related to the four draft FDA guidance documents...",4607,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 ,...s guidance document recommendation useful in your deliberations related to the four draft FDA guidance documents related to HCT/Ps. The AATB and the TPG stand ready and willing to assist the FDA w...,4705,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	 ,"...& CEO Chair American Association of Tissue Banks Tissue Policy Group Attachment: TPG’s Guidance Document Recommendation Titled “Appropriate Analysis, Characterization and Assessment to Ascertain Min...",5064,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...logicsbloodvaccines/guidancecomplianceregulatoryinformation/guidances/tissue/ucm062606.pdf. Guidance Document Recommendation Appropriate Analysis, Characterization and Assessment to Ascertain Minimal Manip...",5600,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	,...n of HCT/Ps and the need for biocompatibility testing? 5 (4) Are there other relevant guidance documents to consider when a tissue processer 5 is assessing biocompability? B. Appropriat...,6541,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,draft	guidance	document	,"...e American Association of Tissue Banks (AATB) Tissue Policy Group (TPG) or AATB TPG, developed this draft guidance document recommendation to provide the Food and Drug Administration (FDA or Agency) with AATB TPG’s assessmen...",7852,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...Food and Drug Administration (FDA or Agency) with AATB TPG’s assessment of the need for a separate guidance document examining issues related to analysis, characterization and assessment of Human Cells, Tissues, and C...",8005,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	,"...lysis, characterization and assessment to minimal manipulation and homologous use of HCT/Ps. This guidance document expands upon the previously submitted homologous use guidance document recommendation by addin...",8298,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	,"...use of HCT/Ps. This guidance document expands upon the previously submitted homologous use guidance document recommendation by adding new, discrete concepts. Namely, as the title suggests, the main feature of...",8375,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...endation by adding new, discrete concepts. Namely, as the title suggests, the main feature of this guidance document recommendation is to provide a framework for the appropriate analysis, characterization and assessme...",8500,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,draft	guidance	document	,"...nts previously submitted related to minimal manipulation and homologous use. As part of its recent draft guidance document titled Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products: Draft Guidan...",9337,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,draft	guidance	for	industry,"...ce document titled Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products: Draft Guidance for Industry and FDA Staff, the FDA noted that “[a] homologous use for a cellular or nonstructural tissue would...",9449,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,draft	guidance	document	,"...e dependent upon the metabolic activity of such cells. Due to this limitation, this draft guidance document recommendation does not directly address the topic....",10324,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	,"...d. For the format and content of the analysis, a tissue processer may want to refer to FDA’s guidance document on this topic (and, in particular, Annex C of “Use of International Standard ISO 10993-1, Biological...",13491,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 ,"..., thus, reduce the need for additional biocompatibility testing. (4) Are there other relevant guidance documents to consider when a tissue processer is assessing biocompability? Yes. The FD...",14947,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	 ,"...tissue processer is assessing biocompability? Yes. The FDA recently released a final guidance document titled “Guidance for Industry on Use of International Standard ISO 10993 1, Biological evaluat...",15089,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 for	 industry,"...ssing biocompability? Yes. The FDA recently released a final guidance document titled “Guidance for Industry on Use of International Standard ISO 10993 1, Biological evaluation of medical devices Part 1 Ev...",15118,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 ,"...n of medical devices Part 1 Evaluation and testing within a risk management process.2” This guidance covers key issues including sensitization, hemocompatibility, pyrogenecity, genotoxicity, and ca...",15311,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	,"...tion, hemocompatibility, pyrogenecity, genotoxicity, and carcinogenicity. However, given that this guidance is specific to devices and covers a whole host of products, not all of the recommendat...",15462,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	document	 ,"...iate pre-clinical animal models may be considered. In addition, the FDA recently released a final guidance document titled “Guidance for Industry on Use of International Standard ISO 10993 1, Biological ev...",26171,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 for	 industry,"...els may be considered. In addition, the FDA recently released a final guidance document titled “Guidance for Industry on Use of International Standard ISO 10993 1, Biological evaluation of medical devices Part...",26199,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	,...aluation of medical devices Part 1 Evaluation and testing within a risk management process.4” This guidance covers key issues including the use of animal models (especially as it relates to degradation). How...,26390,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	,"...uding the use of animal models (especially as it relates to degradation). However, given that this guidance is specific to devices and covers a whole host of products, not all of the recommendations will be w...",26521,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	 document	 ,"...for the references related to the basic function and homologous use, please refer to the AATB TPG’s Guidance Document Recommendation: Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Pro...",30519,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance	,"...chart below only includes additional, supportive information not already included in that previous guidance recommendation. Tissue Category Basic Function Homologous Use Original, relevant characteristics (S...",30765,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,guidance document for ,"...Research Paper, 27 October 2015. http://dx.doi.org/10.1016/j.jmbbrn.2014.10.011 102OECD. (2004), Guidance Document for the Conduct of Skin Absorption Studies, OECD Series on Testing and Assessment, No. 28, OECD Publishi...",63933,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...endation (attached) titled “Appropriate Analysis, Characterization and Assessment to Ascertain Minimal Manipulation and Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).” We d...",3164,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	 manipulation,"...roducts (HCT/Ps) and the relationship of that analysis, characterization and assessment to minimal manipulation and homologous use for HCT/Ps. This guidance document recommendation expands upon the previou...",3684,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	 manipulation,"...t Recommendation Titled “Appropriate Analysis, Characterization and Assessment to Ascertain Minimal Manipulation and Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).”...",5181,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...nce Document Recommendation Appropriate Analysis, Characterization and Assessment to Ascertain Minimal Manipulation and Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps)...",5705,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...) What about endogenous cells in structural tissues? 5 (7) How does homologous use relate to minimal manipulation? 5 (8) What analysis, characterization or asssessment should a tissue processer perform 7...",6890,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal			manipulation,"...cessing steps? (12) To ensure compliance with FDA regulations related to homologous use and minimal manipulation, are there key practices that the TRG recommends all tissue processers perform? 8 IV...",7482,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...e-Based Products (HCT/Ps) and the relationship of that analysis, characterization and assessment to minimal manipulation and homologous use of HCT/Ps. This guidance document expands upon the previously submitted ho...",8240,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...he TPG’s previous comments to the docket, including comments previously submitted related to minimal manipulation and homologous use. As part of its recent draft guidance document titled Homologous Use of Human C...",9273,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...ionic membrane that contain viable or non-viable cells. (7) How does the homologous use relate to minimal manipulation? As noted in the flow diagram below (Diagram A), the manufacturer’s objective intent (...",16513,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...mologous use of a HCT/P, which then delineates what appropriate processes may be considered minimal manipulation. Diagram A. From the Manufacturer’s Objective Intent to the Analysis, Characterization, and Asse...",17588,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...uct. (12) To ensure compliance with the FDA regulations related to homologous use and minimal manipulation, are there key practices that the TPG recommends all tissue processers perform? Yes. The AATB TPG r...",27195,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,...en/bme332ligamenttendon.htm Page 23 Appendix B: HCT/P Flow Diagrams Does the product meet the Minimal Manipulation criteria under 21 CFR 1271Does my product meet the definition of minimalmanipulation (21 CFR 1271.3...,73564,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,minimal	manipulation,"...roduct regulated solely as a 361 HCT/P under 21 CFR 1271?Is the product minimally manipulated? (See Minimal Manipulation flow chart, page 1) Is the product intended for Homologous Use as reflected by labeling, promotion...",75840,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...erest, the TPG previously submitted a document detailing what should be included in the draft homologous use guidance document prior to the FDA’s publication of its own guidance document. Building upon tha...",2862,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...led “Appropriate Analysis, Characterization and Assessment to Ascertain Minimal Manipulation and Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).” We developed this draft...",3189,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...relationship of that analysis, characterization and assessment to minimal manipulation and homologous use for HCT/Ps. This guidance document recommendation expands upon the previously submitted homol...",3711,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...s use for HCT/Ps. This guidance document recommendation expands upon the previously submitted homologous use guidance document recommendation by adding new, discrete concepts. Namely, as the title suggests,...",3820,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...gulatory concepts drawing a clear regulatory link between the manufacturer’s objective intent; the homologous use; the original, relevant characteristics; and the appropriate analysis, characterization, an...",4315,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...ppropriate Analysis, Characterization and Assessment to Ascertain Minimal Manipulation and Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps).”...",5209,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...on Appropriate Analysis, Characterization and Assessment to Ascertain Minimal Manipulation and Homologous Use of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps) All requests and...",5730,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...ructural tissue? 5 (6) What about endogenous cells in structural tissues? 5 (7) How does homologous use relate to minimal manipulation? 5 (8) What analysis, characterization or asssessment should a...",6865,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...e be subsequent processing steps? (12) To ensure compliance with FDA regulations related to homologous use and minimal manipulation, are there key practices that the TRG recommends all tissue processers...",7463,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	use,"...and the relationship of that analysis, characterization and assessment to minimal manipulation and homologous use of HCT/Ps. This guidance document expands upon the previously submitted homologous use guid...",8265,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...on and homologous use of HCT/Ps. This guidance document expands upon the previously submitted homologous use guidance document recommendation by adding new, discrete concepts. Namely, as the title suggests...",8358,FDA-2015-D-3719-0097,unknown,personal_narrative
guidance,homologous	 use,"...oncepts drawing a clear regulatory link between the manufacturer’s objective intent; the homologous use; the original, relevant characteristics; and the appropriate analysis, characterization, and...",8850,FDA-2015-D-3719-0097,unknown,personal_narrative
